Item_ID,Name,Category,wholesale_Cost,warehouse_Loc
081740889393,Cross-group 4thgeneration soft Can,Beverage,4.13,WH-10
357727212318,Streamlined full-range artific Bar,Health Food,1.71,WH-05
061194475293,Multi-layered bifurcated group Can,Beverage,2.68,WH-14
956399218990,Automated heuristic protocol Box,Water,1.56,WH-04
398087380760,Up-sized multi-tasking adapter Box,Juice,3.14,WH-06
936822717000,Compatible solution-oriented t Bar,Energy Drinks,4.69,WH-14
900845479953,Cloned foreground array Can,Beverage,3.04,WH-19
478315348864,Total responsive focus group Can,Water,1.77,WH-02
567633267877,Enterprise-wide next generatio Box,Water,1.16,WH-12
762155311996,Profound well-modulated method Box,Snack,0.91,WH-14
426601158482,Horizontal uniform policy Can,Candy,2.86,WH-08
334672304031,Synergized neutral process imp Pack,Health Food,4.3,WH-04
872468936932,Advanced asynchronous frame Bottle,Juice,2.79,WH-07
415074906218,Compatible regional standardiz Bar,Water,3.12,WH-01
030153094676,Cross-group hybrid encoding Bottle,Energy Drinks,4.96,WH-05
250739865619,Monitored dynamic algorithm Box,Chips,4.97,WH-17
494988026926,Open-architected executive pro Bottle,Soda,2.7,WH-14
695246719178,Organic actuating benchmark Bar,Snack,4.73,WH-13
573346397458,Configurable client-server mig Can,Snack,4.59,WH-19
912867790428,Total modular conglomeration Bar,Cookies,1.04,WH-17
964474900199,Public-key asymmetric moratori Can,Juice,3.65,WH-01
643675631165,Fully-configurable tertiary hu Pack,Juice,3.93,WH-02
984619081046,Multi-channeled zero-defect kn Bar,Chips,1.48,WH-11
809777847461,Visionary optimizing knowledge Bar,Health Food,2.75,WH-13
132573372411,Cross-group responsive applica Bottle,Juice,2.47,WH-15
609365059875,Profound 4thgeneration custome Can,Energy Drinks,1.45,WH-02
636754352880,Synchronized cohesive Internet Bar,Soda,2.53,WH-02
049990618475,Managed content-based leverage Pack,Chips,2.4,WH-05
018585149516,Fully-configurable homogeneous Pack,Water,1.51,WH-20
966007926109,Triple-buffered zero tolerance Bar,Energy Drinks,3.41,WH-06
740256119860,Sharable reciprocal access Bottle,Health Food,3.44,WH-07
709828719579,Visionary foreground leverage Pack,Energy Drinks,1.35,WH-18
