employee_ID,seniority_Lvl
EMP771,Senior
EMP821,Junior
EMP351,Junior
EMP951,Senior
EMP825,Senior
EMP600,Senior
EMP524,Senior
EMP934,Director
EMP195,Junior
EMP787,Junior
EMP119,Senior
EMP477,Senior
EMP448,Senior
EMP451,Senior
EMP556,Director
EMP186,Senior
EMP972,Junior
EMP301,Director
EMP185,Director
EMP413,Senior
EMP878,Senior
EMP362,Junior
EMP350,Junior
EMP433,Director
EMP708,Senior
EMP172,Senior
EMP617,Senior
EMP740,Director
EMP648,Junior
EMP661,Director
EMP532,Director
EMP612,Senior
EMP177,Senior
EMP706,Director
EMP631,Director
EMP922,Director
EMP217,Director
EMP528,Director
EMP535,Director
EMP967,Junior
EMP592,Senior
EMP572,Junior
EMP107,Junior
EMP628,Senior
EMP588,Junior
EMP917,Director
EMP698,Senior
EMP673,Director
EMP950,Director
EMP916,Junior
EMP367,Director
EMP915,Senior
EMP801,Senior
EMP353,Senior
EMP794,Senior
EMP210,Junior
EMP764,Senior
EMP623,Senior
EMP892,Director
EMP982,Senior
EMP578,Junior
EMP418,Director
EMP345,Senior
EMP583,Junior
EMP150,Junior
EMP431,Director
EMP169,Director
EMP713,Senior
EMP372,Senior
EMP344,Director
EMP616,Junior
EMP507,Director
EMP769,Director
EMP758,Junior
EMP487,Director
EMP929,Senior
EMP744,Junior
EMP370,Senior
EMP554,Junior
EMP208,Senior
EMP502,Junior
EMP271,Director
EMP109,Junior
EMP654,Director
EMP975,Senior
EMP663,Senior
EMP751,Junior
EMP988,Junior
EMP459,Director
EMP707,Senior
EMP679,Senior
EMP733,Director
EMP530,Director
EMP999,Junior
EMP909,Junior
EMP615,Junior
EMP668,Junior
EMP287,Junior
EMP533,Director
EMP110,Junior
EMP580,Junior
EMP361,Junior
EMP908,Junior
EMP417,Senior
EMP971,Junior
EMP231,Junior
EMP385,Junior
EMP721,Senior
EMP227,Senior
EMP842,Senior
EMP333,Director
EMP685,Senior
EMP373,Senior
EMP101,Senior
EMP814,Junior
EMP288,Director
EMP991,Senior
EMP678,Senior
EMP961,Director
EMP702,Senior
EMP230,Junior
EMP293,Junior
EMP136,Director
EMP848,Director
EMP194,Junior
EMP643,Director
EMP178,Director
EMP241,Junior
EMP249,Director
EMP175,Junior
EMP162,Director
EMP604,Junior
EMP184,Senior
EMP321,Junior
EMP872,Senior
EMP624,Junior
EMP757,Junior
EMP275,Director
EMP690,Junior
EMP802,Junior
EMP691,Junior
EMP285,Junior
EMP652,Senior
EMP455,Director
EMP778,Senior
EMP386,Senior
EMP310,Senior
EMP464,Director
EMP247,Junior
EMP602,Junior
EMP816,Junior
EMP508,Senior
EMP711,Senior
EMP216,Senior
EMP518,Junior
EMP322,Senior
EMP964,Senior
EMP463,Senior
EMP496,Director
EMP446,Junior
EMP639,Director
EMP253,Junior
EMP837,Junior
EMP504,Senior
EMP705,Junior
EMP998,Junior
EMP191,Senior
EMP877,Senior
EMP832,Director
EMP540,Senior
EMP775,Director
EMP694,Director
EMP544,Director
EMP264,Junior
EMP672,Director
EMP393,Junior
EMP215,Junior
EMP836,Director
EMP317,Senior
EMP198,Senior
EMP924,Junior
EMP902,Senior
EMP827,Director
EMP573,Senior
EMP925,Junior
EMP987,Senior
EMP747,Director
EMP461,Junior
EMP725,Senior
EMP272,Director
EMP911,Junior
EMP782,Senior
EMP429,Director
EMP130,Junior
EMP509,Junior
EMP166,Junior
EMP884,Senior
EMP176,Director
EMP497,Junior
EMP284,Senior
