record_ID,payment_Type,amount_Paid
94934,Credit Card,24.71
60848,Cash,51.02
17618,Debit Card,75.73
33045,Mobile Pay,15.53
20838,Apple Pay,57.48
22682,Bank Transfer,87.01
8544,Debit Card,50.1
70050,Bank Transfer,3.68
31788,Bank Transfer,62.12
10697,Credit Card,17.33
1658,Credit Card,100.88
76432,Cash,46.77
55199,Bank Transfer,39.28
17141,Google Pay,43.71
72499,Mobile Pay,65.06
63384,Credit Card,40.26
24669,Google Pay,91.84
21825,Credit Card,27.32
14465,Credit Card,16.04
19179,Bank Transfer,77.0
80987,Cash,59.26
40210,Credit Card,77.84
60736,Mobile Pay,71.94
18807,Bank Transfer,17.92
81639,Debit Card,51.57
52106,Bank Transfer,23.75
31823,Credit Card,63.35
44463,Apple Pay,96.12
86991,Apple Pay,5.03
65122,Mobile Pay,38.88
6942,Credit Card,13.72
40425,Bank Transfer,22.42
58828,Bank Transfer,36.7
43246,Mobile Pay,19.64
21132,Credit Card,45.84
54741,Mobile Pay,29.64
14834,Debit Card,12.46
93352,Credit Card,47.21
78179,Google Pay,97.91
53094,Cash,18.91
7521,Bank Transfer,72.49
84991,Apple Pay,47.95
90477,Google Pay,89.74
64,Bank Transfer,85.38
35774,Cash,76.95
25687,Cash,95.31
52561,Bank Transfer,104.13
13232,Mobile Pay,14.58
20544,Debit Card,36.14
50853,Cash,17.59
53615,Credit Card,20.53
87122,Google Pay,43.45
81596,Credit Card,54.19
8020,Google Pay,100.91
36345,Google Pay,17.53
55298,Credit Card,109.91
42824,Bank Transfer,32.51
3335,Mobile Pay,99.45
62455,Debit Card,41.12
96250,Cash,31.19
33690,Apple Pay,11.03
69287,Apple Pay,45.5
93981,Credit Card,83.9
90159,Mobile Pay,6.48
47020,Cash,89.66
72922,Apple Pay,15.1
94972,Apple Pay,19.7
16170,Credit Card,58.51
79517,Apple Pay,46.61
9413,Apple Pay,71.2
85120,Debit Card,19.58
4767,Debit Card,19.3
66187,Credit Card,36.86
59916,Apple Pay,77.13
48463,Bank Transfer,42.99
60291,Mobile Pay,32.88
21780,Cash,105.48
66666,Apple Pay,98.56
31460,Bank Transfer,86.89
2885,Apple Pay,60.52
40460,Apple Pay,41.75
82532,Bank Transfer,11.28
51051,Bank Transfer,50.89
33210,Cash,15.8
66472,Bank Transfer,48.68
54318,Bank Transfer,13.48
45569,Bank Transfer,19.43
4533,Cash,36.82
7767,Google Pay,15.57
19745,Credit Card,96.87
95963,Google Pay,43.93
64399,Debit Card,32.17
58361,Debit Card,127.37
72762,Mobile Pay,29.72
39015,Debit Card,30.41
97047,Google Pay,5.8
43424,Debit Card,14.1
94955,Debit Card,44.95
94500,Google Pay,39.82
93192,Bank Transfer,38.48
3552,Debit Card,27.5
64568,Bank Transfer,52.79
73858,Google Pay,52.5
89124,Google Pay,128.57
99582,Apple Pay,51.01
54962,Bank Transfer,19.18
23863,Google Pay,27.69
24611,Debit Card,21.59
70148,Google Pay,12.37
29056,Mobile Pay,8.75
28746,Credit Card,55.37
60758,Apple Pay,95.52
109,Credit Card,40.8
63841,Mobile Pay,45.43
20277,Google Pay,33.4
12219,Bank Transfer,25.22
46132,Google Pay,11.77
6736,Bank Transfer,20.39
76070,Google Pay,12.16
43003,Google Pay,92.64
76919,Bank Transfer,23.38
23477,Google Pay,13.67
65914,Apple Pay,41.39
28745,Debit Card,24.6
50515,Debit Card,45.97
91414,Google Pay,21.43
93733,Debit Card,79.03
27325,Google Pay,33.45
75472,Mobile Pay,31.9
49778,Bank Transfer,40.09
24644,Apple Pay,2.46
93665,Debit Card,10.38
12883,Cash,31.33
33645,Mobile Pay,21.69
39731,Debit Card,20.92
12731,Cash,75.0
37707,Bank Transfer,127.54
73430,Debit Card,21.24
84381,Credit Card,39.71
60930,Bank Transfer,16.56
74329,Bank Transfer,45.43
87613,Bank Transfer,14.64
64098,Cash,93.43
6883,Google Pay,53.31
93377,Apple Pay,45.37
90120,Credit Card,25.83
43510,Debit Card,49.28
83919,Debit Card,6.2
31564,Credit Card,41.94
41792,Bank Transfer,34.58
96720,Bank Transfer,1.86
13227,Bank Transfer,23.9
12000,Cash,25.14
17202,Debit Card,57.51
90049,Credit Card,17.63
91323,Google Pay,106.13
39087,Debit Card,59.62
28765,Apple Pay,39.34
64024,Apple Pay,50.3
44502,Bank Transfer,12.56
21377,Debit Card,69.85
30724,Credit Card,34.54
96365,Bank Transfer,39.42
39597,Debit Card,40.56
55703,Debit Card,2.62
90931,Debit Card,26.72
54531,Debit Card,25.79
46156,Mobile Pay,24.78
75874,Debit Card,1.9
23239,Credit Card,34.83
79843,Google Pay,49.32
14218,Bank Transfer,13.81
49281,Mobile Pay,48.19
43126,Cash,20.62
73961,Bank Transfer,72.85
81354,Bank Transfer,7.34
61540,Cash,107.41
6082,Bank Transfer,21.5
14484,Google Pay,30.85
63559,Apple Pay,2.57
71353,Bank Transfer,4.57
32421,Bank Transfer,45.84
24026,Mobile Pay,16.76
57351,Bank Transfer,31.49
62705,Debit Card,14.72
62655,Bank Transfer,21.43
82233,Cash,6.16
7704,Mobile Pay,63.75
4870,Mobile Pay,36.85
83147,Credit Card,47.96
27302,Credit Card,71.61
44261,Debit Card,96.91
83927,Bank Transfer,15.35
70792,Google Pay,6.43
54983,Bank Transfer,49.09
893,Apple Pay,21.3
63128,Google Pay,24.54
22303,Mobile Pay,11.09
72097,Mobile Pay,65.79
98946,Bank Transfer,20.03
82654,Cash,22.44
82801,Google Pay,49.95
33466,Mobile Pay,83.86
46952,Credit Card,8.51
82042,Debit Card,114.67
38217,Apple Pay,86.15
58972,Mobile Pay,43.75
2460,Bank Transfer,79.77
99709,Debit Card,9.54
29271,Credit Card,26.66
86890,Bank Transfer,81.9
95485,Google Pay,27.85
65723,Credit Card,8.99
32729,Cash,4.57
85941,Debit Card,74.01
27488,Apple Pay,18.02
10427,Mobile Pay,72.3
80168,Apple Pay,32.63
57777,Google Pay,32.57
46701,Credit Card,70.58
38087,Bank Transfer,9.6
352,Bank Transfer,30.59
73425,Mobile Pay,89.93
6432,Apple Pay,37.66
60742,Mobile Pay,41.94
67554,Bank Transfer,38.74
68480,Cash,21.2
80655,Bank Transfer,112.91
26540,Credit Card,21.34
45458,Debit Card,89.06
62079,Debit Card,33.26
60475,Bank Transfer,7.23
64033,Cash,8.37
72871,Mobile Pay,56.46
74977,Apple Pay,35.1
58460,Mobile Pay,48.21
25911,Debit Card,42.3
63482,Credit Card,26.97
54339,Mobile Pay,11.37
42651,Cash,68.06
6191,Google Pay,10.87
2858,Debit Card,27.26
51909,Debit Card,16.51
28911,Bank Transfer,38.09
64295,Credit Card,4.46
62159,Cash,25.13
60573,Cash,19.92
88315,Google Pay,49.8
77046,Debit Card,18.09
62915,Debit Card,42.41
94871,Bank Transfer,25.87
92492,Apple Pay,104.13
449,Credit Card,15.92
36122,Debit Card,59.21
32875,Apple Pay,7.19
55389,Cash,37.64
72426,Debit Card,41.83
34720,Credit Card,80.3
56198,Google Pay,100.35
65582,Apple Pay,19.95
49004,Bank Transfer,34.66
44917,Mobile Pay,21.91
49260,Apple Pay,18.0
29091,Bank Transfer,36.18
97803,Bank Transfer,29.55
10281,Debit Card,7.46
66604,Mobile Pay,42.0
79328,Credit Card,12.46
92580,Mobile Pay,65.99
61471,Credit Card,6.82
93161,Mobile Pay,47.9
73936,Debit Card,62.75
27162,Apple Pay,75.89
84023,Apple Pay,87.21
