record_ID,Quantity,Cost
6678,76,151.67
6471,144,214.59
98917,62,100.74
70054,62,97.15
73182,71,219.46
24105,139,475.19
70842,12,43.05
53203,12,51.39
99641,142,421.32
18509,90,388.07
14481,45,131.61
36951,110,81.97
45790,150,522.92
13612,127,560.4
84088,78,145.4
65984,36,115.21
11444,81,178.57
53554,52,150.22
12687,27,43.85
75678,37,149.06
76971,44,31.84
45923,93,142.8
54382,123,299.24
91413,19,61.21
67808,100,462.22
74241,63,58.18
15124,118,483.18
83669,147,381.87
58943,86,273.24
36721,18,81.18
74056,50,189.95
59757,16,26.56
93527,50,149.27
78965,54,112.75
13026,62,43.05
71969,146,565.56
42421,39,165.79
36972,79,138.98
35448,15,32.85
1787,76,246.09
46366,34,129.26
7974,30,40.26
26917,35,42.24
29949,133,74.18
55850,39,59.22
70269,29,33.27
24516,72,146.37
56669,149,588.85
55341,138,615.23
6597,70,279.97
25245,45,53.68
29266,64,257.1
80838,46,46.71
38726,38,162.56
82128,37,58.83
59580,33,95.66
41907,65,229.05
93290,41,167.43
71794,55,187.57
64096,148,630.54
63584,138,602.56
91396,40,136.54
75815,62,292.88
21964,136,177.52
37625,68,233.02
69491,62,192.31
63848,11,35.98
91455,86,163.0
21942,86,397.86
25945,31,44.34
95339,21,68.41
76401,14,60.05
69421,133,448.19
35253,79,334.61
42899,23,92.82
31149,101,164.69
5130,114,350.39
85037,93,374.33
82958,92,417.77
52042,84,206.27
38639,29,123.39
77661,43,154.33
16453,143,591.01
20126,62,292.04
74400,121,291.64
17766,117,292.83
32468,103,185.8
76464,47,141.15
29780,64,176.11
65575,125,119.27
49535,51,139.91
33240,97,366.11
59571,42,110.33
97796,56,234.31
81471,77,338.92
39008,13,54.52
50876,148,737.25
98456,67,99.46
81856,130,607.16
97040,105,105.08
33336,120,373.25
41571,74,263.14
33704,133,99.45
6887,150,710.19
48265,92,141.59
82038,59,141.58
8216,61,186.24
58367,79,283.55
2274,75,221.53
76289,87,427.71
8057,69,216.59
62972,16,78.83
18232,58,68.08
24069,20,39.89
60557,75,266.77
71501,11,41.13
1991,116,312.05
97228,81,269.47
60840,131,262.05
78396,59,278.42
66197,67,94.12
51037,145,122.44
80958,134,343.9
84431,37,164.47
52717,49,200.55
31394,98,213.16
51901,64,42.98
62651,16,62.1
19991,123,330.88
58685,17,73.51
22536,100,266.26
9815,146,404.74
52911,95,319.42
91830,27,102.5
39991,103,221.27
90520,92,415.65
61355,137,504.53
52459,99,242.18
26343,102,146.73
58175,86,426.39
10247,45,121.1
71598,31,40.66
90286,67,53.44
15726,58,179.14
48249,78,222.03
23776,45,87.04
62822,36,45.88
76666,129,380.0
4751,149,369.19
50494,147,626.56
69327,34,98.87
86916,92,304.57
45264,56,53.7
59753,148,688.86
18990,101,90.77
82333,12,29.2
42918,16,64.23
7830,112,456.61
75257,117,209.77
2097,16,66.37
54754,61,252.24
96798,105,349.63
53007,41,149.64
50309,90,237.1
46874,139,189.25
21727,76,331.66
40225,53,130.09
28514,24,75.75
51737,74,121.13
51312,111,275.56
59809,30,70.09
86595,57,196.87
78227,118,132.03
61358,61,150.15
13104,15,22.14
12574,116,262.46
94013,149,267.01
9549,113,550.04
68162,16,39.67
43208,78,358.78
19976,31,16.65
93151,99,484.71
93449,68,89.33
80571,14,14.12
22355,21,13.02
88076,35,111.9
82821,124,388.85
42444,117,468.14
82895,119,587.95
5548,62,223.12
46487,10,10.05
36868,25,70.41
39841,65,101.15
63871,74,292.45
18015,132,484.93
31959,130,559.96
16138,60,206.82
99917,145,550.42
52035,23,104.06
72269,112,545.04
82992,53,243.65
27270,146,362.3
72297,31,22.36
83218,77,86.26
82135,115,210.11
47927,21,23.2
87867,22,104.55
19563,97,83.75
34821,56,248.83
34006,14,40.64
16823,46,28.26
94229,39,183.42
159,134,523.73
35559,19,78.85
59831,25,34.84
72796,73,182.98
92575,147,696.09
95132,146,453.49
76509,46,229.14
55042,78,122.37
27127,51,162.01
27064,103,269.51
35960,109,479.32
28558,124,282.83
98920,121,321.4
38707,10,36.86
98241,48,177.37
64737,62,54.13
5173,87,83.06
38403,133,413.59
96402,47,213.5
26056,27,50.27
26817,92,353.83
52812,71,274.4
19582,138,632.31
37741,63,183.14
72243,50,160.77
86304,17,15.72
25402,23,88.92
20579,46,112.46
32380,93,420.66
86219,99,229.55
90452,145,197.52
87906,122,594.68
51919,134,204.87
56374,10,8.15
13961,100,467.02
46789,36,118.29
5464,50,117.81
53323,68,313.09
98918,35,106.18
88837,84,351.11
35134,143,271.04
10114,20,58.75
47881,81,216.82
84525,51,122.91
93808,70,308.73
13078,101,250.47
10225,12,10.59
28452,90,333.37
62221,34,166.91
89921,117,404.18
15433,57,163.7
29030,41,86.6
46240,66,148.52
4772,146,331.21
96792,78,78.41
47414,99,494.27
55131,53,222.68
43572,78,148.46
12210,62,156.77
71389,115,122.57
40081,22,84.89
46473,48,206.58
35118,149,220.52
85513,13,7.67
34710,11,53.06
61664,61,53.38
11780,17,71.65
14533,57,214.24
59626,124,97.66
68394,90,276.92
31900,84,147.04
50075,114,465.76
80539,73,121.76
35948,105,155.36
60960,66,231.04
34854,145,370.76
2883,137,655.41
68875,121,489.09
29831,107,451.67
71939,60,299.53
95052,65,54.03
66675,31,21.36
89883,32,110.56
41388,114,168.86
47070,36,152.5
28713,129,574.04
62284,94,354.78
36216,133,192.37
29106,42,24.24
58825,26,48.86
66955,102,390.24
91642,84,271.15
34698,88,57.51
44713,148,589.34
24315,104,280.05
72103,59,157.91
79576,73,281.98
74765,33,45.18
16505,79,174.95
92972,41,125.2
63632,67,283.55
35648,32,63.72
67797,19,85.49
73963,43,104.37
15051,71,128.84
3250,56,78.25
85485,143,319.78
75899,38,113.01
88643,92,390.41
76829,10,23.47
75065,88,394.63
47755,124,171.67
79046,55,127.21
76382,114,215.1
53089,93,391.24
86949,18,48.22
71556,43,34.23
67066,36,102.2
97136,52,91.13
