item_ID,Name,Category,wholesale_Cost,warehouse_Loc
4312,Object-based radical archive Pack,Beverage,3.93,Aisle 1 - Bin 9
3034,Focused leadingedge concept Box,Chips,2.73,Aisle 4 - Bin 2
3212,Optimized needs-based framewor Pack,Water,2.62,Aisle 2 - Bin 1
9874,Balanced full-range throughput Can,Water,0.55,Aisle 3 - Bin 5
5600,Multi-channeled content-based  Can,Water,2.9,Aisle 3 - Bin 2
7641,Reverse-engineered zero tolera Bottle,Energy Drinks,2.82,Aisle 5 - Bin 6
5778,Function-based tangible intran Bar,Soda,4.02,Aisle 5 - Bin 9
3961,Business-focused eco-centric f Pack,Water,2.54,Aisle 2 - Bin 6
4921,Secured object-oriented conglo Can,Snack,2.34,Aisle 5 - Bin 9
9285,Versatile 3rdgeneration hub Bar,Chips,4.01,Aisle 5 - Bin 9
775,De-engineered tertiary support Can,Snack,1.02,Aisle 2 - Bin 2
23,Visionary high-level conglomer Bar,Candy,3.65,Aisle 4 - Bin 7
1967,Compatible needs-based leverag Pack,Candy,1.45,Aisle 2 - Bin 6
1528,Enterprise-wide leadingedge em Box,Cookies,0.53,Aisle 5 - Bin 6
7992,Virtual static function Can,Snack,1.53,Aisle 4 - Bin 2
5188,Team-oriented dedicated Intern Box,Soda,4.64,Aisle 1 - Bin 1
1746,Assimilated 6thgeneration stra Bottle,Soda,0.78,Aisle 5 - Bin 3
4111,Automated static functionaliti Bottle,Cookies,1.67,Aisle 3 - Bin 4
9127,Re-contextualized bottom-line  Box,Water,0.94,Aisle 4 - Bin 2
9785,Profound 3rdgeneration paradig Pack,Energy Drinks,3.61,Aisle 5 - Bin 3
1979,Visionary multimedia implement Box,Energy Drinks,0.61,Aisle 5 - Bin 3
594,Realigned cohesive help-desk Pack,Chips,2.01,Aisle 1 - Bin 9
5761,Integrated multi-state functio Bottle,Health Food,2.04,Aisle 2 - Bin 1
577,Fully-configurable demand-driv Pack,Chips,0.64,Aisle 2 - Bin 2
5314,Robust local service-desk Bottle,Soda,1.01,Aisle 3 - Bin 2
5409,Configurable encompassing moni Can,Cookies,1.36,Aisle 4 - Bin 2
6798,Triple-buffered impactful fram Bottle,Beverage,2.03,Aisle 5 - Bin 3
3719,Pre-emptive background softwar Box,Cookies,2.17,Aisle 4 - Bin 8
