machine_ID,Status,purchase_Date
VM9696,repair,2021-01-08
VM9934,functional,2022-07-07
VM1120,decommissioned,2024-05-08
VM9741,repair,2023-08-29
VM4849,repair,2021-07-07
VM1839,functional,2025-08-30
VM4454,functional,2021-07-29
VM9432,functional,2024-05-01
VM9650,decommissioned,2024-05-17
VM2295,functional,2022-03-28
VM4405,repair,2021-09-12
VM5618,decommissioned,2021-06-10
VM2206,decommissioned,2020-10-13
VM6243,decommissioned,2020-12-26
VM5340,functional,2024-01-07
VM8576,repair,2024-05-25
VM5458,decommissioned,2025-02-13
VM7110,decommissioned,2022-03-14
VM2010,functional,2021-07-08
VM3964,repair,2023-03-07
VM9063,functional,2022-03-12
VM7466,repair,2023-01-05
VM6712,functional,2021-05-21
VM7656,decommissioned,2023-08-11
VM9374,decommissioned,2020-03-28
VM5588,repair,2023-10-26
VM6135,decommissioned,2020-01-03
VM8216,decommissioned,2025-07-13
VM9629,functional,2022-03-13
VM6788,functional,2024-03-31
VM1930,repair,2020-08-11
VM6769,repair,2022-11-29
VM3495,repair,2025-11-06
VM9567,repair,2021-07-14
VM7625,decommissioned,2021-11-19
VM9924,repair,2020-04-07
VM8977,repair,2020-04-03
VM3546,functional,2020-01-05
VM2990,repair,2021-10-03
VM3794,decommissioned,2024-03-24
VM1961,repair,2022-09-23
VM5256,repair,2024-12-25
VM3705,functional,2023-02-09
VM6132,decommissioned,2025-09-28
VM7131,repair,2020-04-01
VM6734,functional,2022-07-29
VM5557,functional,2023-05-28
VM6246,repair,2021-04-25
VM9570,decommissioned,2020-10-16
VM6872,functional,2024-02-06
VM3346,decommissioned,2020-04-12
VM8834,decommissioned,2023-11-17
VM3002,repair,2020-04-03
VM5079,decommissioned,2021-10-02
VM8341,decommissioned,2022-05-06
VM9002,decommissioned,2023-09-14
VM7073,repair,2022-03-08
VM3780,repair,2020-12-28
VM1463,decommissioned,2021-09-29
VM1168,functional,2022-01-02
VM2916,functional,2021-06-14
VM2606,functional,2023-11-05
VM1806,functional,2024-05-07
VM8236,functional,2020-12-17
VM4915,decommissioned,2025-02-14
VM8532,functional,2025-05-16
VM4384,functional,2024-05-12
VM8846,functional,2023-06-27
VM5960,repair,2025-06-25
VM7640,repair,2020-05-23
VM9608,functional,2020-03-26
VM7121,functional,2025-10-06
VM1256,functional,2024-07-05
VM7123,decommissioned,2024-10-26
VM7492,repair,2024-04-08
VM7308,decommissioned,2022-06-03
VM6193,functional,2024-09-24
VM4648,repair,2023-08-07
VM4422,functional,2020-05-07
VM3548,decommissioned,2021-11-23
VM6266,repair,2021-08-19
VM8541,functional,2020-10-23
VM8443,functional,2023-08-09
VM1198,functional,2022-01-22
VM4000,functional,2023-04-16
VM4947,repair,2021-07-12
VM5548,repair,2022-11-01
VM7602,decommissioned,2021-02-24
VM2232,decommissioned,2025-04-12
VM2686,decommissioned,2023-01-19
